Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
"KB1, KB3",2,~,Stabilizer_Cherry_MX_2.00u,,,,tht,,,,,
KB2,1,,Stabilizer_Cherry_MX_2.00u,,,,tht,,,,,
KB4,1,~,Stabilizer_Cherry_MX_7.00u,,,,tht,,,,,
SK6,1,Z80 Address Bus,55203148,,5-520314-8,,tht,TRIOMATE ASSY H 8P L=2.54 LDFR,4.83,571-5-520314-8,https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/5-520314-8?qs=lnVw2K6okukc2ogv5Hk%252BCA%3D%3D,TE Connectivity
SK7,1,Z80 Data Bus,55203148,,5-520314-8,,tht,TRIOMATE ASSY H 8P L=2.54 LDFR,4.83,571-5-520314-8,https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/5-520314-8?qs=lnVw2K6okukc2ogv5Hk%252BCA%3D%3D,TE Connectivity
SW1,1,SHIFT_RH,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW10,1,SHIFT_LH,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW11,1,SPACE,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW12,1,LEFT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW13,1,RIGHT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW14,1,DOWN,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW15,1,UP,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW16,1,ENTER,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW17,1,ESC,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW18,1,TAB,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW19,1,ONE,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW2,1,HELP,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW20,1,2,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW21,1,3,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW22,1,4,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW23,1,5,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
