Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
KB1,1,SHIFT_LH,Stabilizer_Cherry_MX_2.00u,,,,tht,,,,,
KB2,1,SHIFT_RH,Stabilizer_Cherry_MX_2.00u,,,,tht,,,,,
KB3,1,ENTER,Stabilizer_Cherry_MX_2.00u,,,,tht,,,,,
KB4,1,SPACE_BAR,Stabilizer_Cherry_MX_7.00u,,,,tht,,,,,
SK6,1,Z80 Address Bus,55203148,,5-520314-8,,tht,TRIOMATE ASSY H 8P L=2.54 LDFR,4.83,571-5-520314-8,https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/5-520314-8?qs=lnVw2K6okukc2ogv5Hk%252BCA%3D%3D,TE Connectivity
SK7,1,Z80 Data Bus,55203148,,5-520314-8,,tht,TRIOMATE ASSY H 8P L=2.54 LDFR,4.83,571-5-520314-8,https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/5-520314-8?qs=lnVw2K6okukc2ogv5Hk%252BCA%3D%3D,TE Connectivity
SW1,1,SHIFT_RH,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW10,1,SHIFT_LH,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW11,1,SPACE,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW12,1,VASEN,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW13,1,OIKEIN,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW14,1,ALAS,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW15,1,YLÖS,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW16,1,ENTER,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW17,1,ESC,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW18,1,TAB,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW19,1,YKSI,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW2,1,APUA!,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW20,1,KAKSI,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW21,1,KOLME,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW22,1,NELJÄ,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW23,1,VIISI,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW24,1,KUUSI,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW25,1,INDEX,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW26,1,DIAMOND,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW27,1,Q,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW28,1,W,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW29,1,E,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW3,1,[,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW30,1,R,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW31,1,T,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW32,1,Y,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW33,1,CAPS_LOCK,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW34,1,MENU,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW35,1,A,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW36,1,S,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW37,1,D,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW38,1,F,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW39,1,G,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW4,1,],SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW40,1,H,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW41,1,DOT,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW42,1,COMMA,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW43,1,Z,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW44,1,X,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
SW45,1,C,SW_Gateron_LowProfile_THT,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,
