Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name
SW36,1,B,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW37,1,N,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW38,1,M,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW39,1,DOT,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW4,1,4,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW40,1,SPACE,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW41,1,LEFT,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW42,1,DOWN,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW43,1,UP,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW44,1,RIGHT,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW45,1,RUBOUT,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW5,1,5,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW6,1,6,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW7,1,7,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW8,1,8,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
SW9,1,9,SW_Cherry_MX_1.00u_PCB,,,,tht,"Push button switch, normally open, two pins, 45° tilted",,,,,,
